,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도,LINK
2,전통사찰,영업/정상,서울특별시 종로구 충신동 15번지,200516.095441559,452559.360165863,127.00374011649618,37.57532743043846,1000012302.0
4,전통사찰,영업/정상,서울특별시 종로구 숭인동 178-3번지,201587.492865052,452579.450962134,127.0158686459397,37.57550729781871,1000013001.0
5,전통사찰,영업/정상,서울특별시 서초구 서초동 산 140,201116.82103913,441532.820759269,127.0105246936308,37.47597839350993,1210008803.0
6,전통사찰,영업/정상,서울특별시 강서구 개화동 산 81-13,182552.324924974,453190.183661248,126.80037120201344,37.58084470012831,1150004800.0
7,전통사찰,영업/정상,서울특별시 서대문구 홍은동 8번지,195863.348034162,454965.317199561,126.9510560620017,37.5969952783196,1120013902.0
9,전통사찰,영업/정상,서울특별시 동작구 상도동 280번지,194356.899025114,443360.945623699,126.93408793825022,37.49243279269089,1190048700.0
10,전통사찰,영업/정상,서울특별시 강남구 삼성동 73번지,204964.438506272,445880.737479269,127.05405190200896,37.51514069491821,1220082400.0
13,전통사찰,영업/정상,서울특별시 은평구 진관동 354번지,195215.417977228,459532.525054496,126.9436889399548,37.63814173399379,1110015804.0
14,전통사찰,영업/정상,서울특별시 은평구 응암동 37-13번지,194042.637932163,454998.696725592,126.93043892931048,37.59728591222208,1110088001.0
20,전통사찰,영업/정상,서울특별시 관악구 남현동 519-3번지,197850.771608717,440601.39463495,126.9736039865893,37.46758416560361,1200050000.0
23,전통사찰,영업/정상,서울특별시 성북구 돈암동 593번지,200574.351286685,455118.721872189,127.00440136763147,37.59838687537973,1070037100.0
25,전통사찰,영업/정상,서울특별시 종로구 견지동 45번지,198369.673994286,452399.957460173,126.97944245541176,37.57388978399226,1000026002.0
26,전통사찰,영업/정상,서울특별시 종로구 봉익동 2번지,199230.47059495,452374.064148799,126.98918673106164,37.573657669942826,1000026400.0
27,전통사찰,영업/정상,서울특별시 종로구 홍지동 80-1번지,196300.203464322,455463.787019164,126.95600024512972,37.60148829793212,1000042500.0
28,전통사찰,영업/정상,서울특별시 종로구 숭인동 17-1번지,201410.859114101,453067.82734527,127.013869999568,37.57990777954305,1000014902.0
30,전통사찰,영업/정상,서울특별시 종로구 창신동 130-1,201109.784838676,452572.625048854,127.01046084845616,37.57544646305688,1000036300.0
34,전통사찰,영업/정상,서울특별시 서대문구 홍은동 8,195863.348034162,454965.317199561,126.9510560620017,37.5969952783196,1120013902.0
36,전통사찰,영업/정상,서울특별시 동작구 동작동 305번지,196811.666474237,444056.768660908,126.96184270078356,37.49871405479424,1190020200.0
37,전통사찰,영업/정상,서울특별시 동작구 흑석동 산 61-34번지,196616.664560635,444035.535376129,126.9596375872072,37.498522035991925,1190017500.0
38,전통사찰,영업/정상,서울특별시 동대문구 청량리동 61,204113.679818772,453983.762426676,127.04447353742472,37.58815230659403,1050015600.0
39,전통사찰,영업/정상,서울특별시 금천구 시흥동 234,193341.960695953,438934.877417659,126.9226516714401,37.452546995475245,1170001804.0
43,전통사찰,영업/정상,서울특별시 관악구 신림동 318번지,194135.0721631,439681.433124505,126.93160918926849,37.459278920731926,1200013800.0
44,전통사찰,영업/정상,서울특별시 관악구 신림동 194-1번지,195880.008889136,438509.911695946,126.95133838421307,37.44873298593994,1200012800.0
46,전통사찰,영업/정상,서울특별시 종로구 창신동 130 - 1,201109.784838676,452572.625048854,127.01046084845616,37.57544646305688,1000036300.0
48,전통사찰,영업/정상,서울특별시 관악구 신림동 198번지,194861.009204839,439494.442583259,126.939815578204,37.45759849501629,1200052000.0
